frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425444.372919737	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3549	4265	1	0
1596425444.373593275	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	3549	4265	1	0
1596425444.415630244	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4265	3625	1	0
1596425444.562774824	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	3625	4265	1	0
1596425444.563055159	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4265	3861	1	0
1596425444.605292484	eth:ethertype:ip:tcp	74	192.168.0.158	172.217.12.161	40492	443	40492	0	0	0	0	1
1596425444.629487365	eth:ethertype:ip:tcp	74	172.217.12.161	192.168.0.158	443	40492	443	0	0	1	1	1
1596425444.629517335	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	1	1	1	0
1596425444.630586763	eth:ethertype:ip:tcp:ssl	583	192.168.0.158	172.217.12.161	40492	443	40492	517	1	1	1	0
1596425444.639365421	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	4265	3861	1	0
1596425444.640048505	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	3861	4629	1	0
1596425444.640316825	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4629	3937	1	0
1596425444.654814653	eth:ethertype:ip:tcp	66	172.217.12.161	192.168.0.158	443	40492	443	0	1	518	1	0
1596425444.661614312	eth:ethertype:ip:tcp:ssl	1484	172.217.12.161	192.168.0.158	443	40492	443	1418	1	518	1	0
1596425444.661641415	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	518	1419	1	0
1596425444.661661360	eth:ethertype:ip:tcp:ssl	3903	172.217.12.161	192.168.0.158	443	40492	443	3837	1419	518	1	0
1596425444.661674615	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	518	5256	1	0
