frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596421504.796162981	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	7289	7941	1	0
1596421504.839617118	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7941	7365	1	0
1596421505.183326370	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	7365	7941	1	0
1596421505.183654333	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7941	7457	1	0
1596421505.228302563	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	7457	7941	1	0
1596421505.228582146	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7941	7693	1	0
1596421505.367913189	eth:ethertype:ip:tcp:ssh	462	192.168.0.1	192.168.0.158	35658	22	35658	396	7941	7693	1	0
1596421505.368766203	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	7693	8337	1	0
1596421505.369035127	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8337	7769	1	0
1596421505.695268157	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	7769	8337	1	0
1596421505.695600751	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8337	7861	1	0
1596421505.740245164	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	7861	8337	1	0
1596421505.740525125	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8337	8097	1	0
1596421505.982179416	eth:ethertype:ip:tcp:ssh	498	192.168.0.1	192.168.0.158	35658	22	35658	432	8337	8097	1	0
1596421505.983075491	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	8097	8769	1	0
1596421505.983348621	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8769	8173	1	0
1596421506.207265530	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	8173	8769	1	0
1596421506.207573558	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8769	8265	1	0
1596421506.252245315	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	8265	8769	1	0
1596421506.252524932	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	8769	8501	1	0
1596421506.288332694	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	8769	8501	1	0
1596421506.331067637	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	8501	8845	1	0
1596421506.331418012	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	8845	8501	1	0
1596421506.331437603	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	8501	9201	1	0
1596421506.332268627	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	8501	9201	1	0
1596421506.367081098	eth:ethertype:ip:tcp	74	192.168.0.158	199.232.64.133	38012	443	38012	0	0	0	0	1
1596421506.375617022	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	9201	8577	1	0
1596421506.719249593	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	8577	9201	1	0
1596421506.719601028	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	9201	8669	1	0
1596421506.764253118	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	8669	9201	1	0
1596421506.764527625	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	9201	8905	1	0
1596421506.904609104	eth:ethertype:ip:tcp:ssh	462	192.168.0.1	192.168.0.158	35658	22	35658	396	9201	8905	1	0
1596421506.905486556	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	8905	9597	1	0
1596421506.905721258	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	9597	8981	1	0
1596421507.231378893	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	8981	9597	1	0
1596421507.231712514	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	9597	9073	1	0
